Movie,Release Date,Metacritic,IMDb,Rotten Tomatoes,Fandango
vesper,nan,nan,68.0,nan,nan
broadway,nan,nan,nan,nan,nan
the flood,nan,nan,67.0,nan,nan
mending the line,nan,56.0,nan,nan,nan
bone tomahawk,nan,nan,71.0,nan,nan
vivarium,nan,nan,44.0,nan,nan
black panther: wakanda forever,nan,nan,67.0,nan,nan
indiana jones and the kingdom of the crystal skull,nan,nan,62.0,nan,nan
shrapnel,2023-07-28,nan,nan,nan,nan
her,nan,nan,69.0,nan,nan
revoir paris,2023-06-23,nan,nan,93,nan
a woman escapes,nan,nan,nan,nan,nan
sidhus of southall,nan,nan,nan,nan,nan
the lesson,2023-07-07,64.0,nan,78,69
terrifier,2018-03-15,nan,56.0,55,52
batman & robin,nan,nan,70.0,nan,nan
two sinners and a mule,nan,nan,nan,nan,nan
avengers: infinity war,nan,nan,72.0,nan,nan
bro,2023-07-28,nan,nan,nan,74
a quiet place part 2,nan,nan,72.0,nan,nan
the godfather part 2,nan,nan,75.0,nan,nan
sex drive,nan,nan,71.0,nan,nan
the wizard of oz,nan,nan,62.0,nan,nan
the blue lagoon,nan,nan,54.0,nan,nan
jack reacher,nan,nan,73.0,nan,nan
stand by me,nan,nan,81.0,nan,nan
lost girls,nan,nan,74.0,nan,nan
the mistress,2023-07-28,nan,nan,nan,nan
challengers,nan,nan,83.0,nan,nan
the princess bride,nan,nan,71.0,nan,nan
2001: a space odyssey,nan,nan,73.0,nan,nan
the silence of the lambs,nan,nan,86.0,nan,nan
chevalier,nan,67.0,nan,nan,nan
space oddity,nan,nan,nan,nan,nan
the super mario bros. movie,2023-04-05,nan,71.0,59,95
the beasts,2023-07-28,82.0,nan,98,nan
anchorage,nan,nan,nan,nan,nan
a father's heart,nan,nan,nan,nan,nan
almost famous,nan,nan,70.0,nan,nan
john wick: chapter 3 - parabellum,nan,nan,74.0,nan,nan
the exorcist,nan,nan,81.0,nan,nan
john wick: chapter 4,nan,nan,62.0,nan,nan
the last duel,nan,nan,74.0,nan,nan
double life,nan,nan,nan,nan,nan
the marvels,nan,nan,75.0,nan,nan
deadpool 2,nan,nan,74.0,nan,nan
call me by your name,nan,nan,77.0,nan,nan
blue beetle,nan,nan,71.0,nan,nan
don't look up,nan,nan,72.0,nan,nan
de humani corporis fabrica,nan,92.0,nan,nan,nan
insomnia,nan,nan,73.0,nan,nan
the take,nan,nan,78.0,nan,nan
the fallout,nan,nan,70.0,nan,nan
unconditional,nan,nan,nan,nan,nan
somewhere in queens,2023-04-21,61.0,nan,91,92
pitch perfect,nan,nan,71.0,nan,nan
nimona,nan,75.0,nan,nan,nan
weird: the al yankovic story,nan,nan,69.0,nan,nan
atonement,nan,nan,78.0,nan,nan
300,nan,nan,76.0,nan,nan
a few good men,nan,nan,77.0,nan,nan
beautiful disaster,nan,nan,53.0,nan,nan
rally road racers,nan,nan,nan,nan,nan
rocky aur rani k2 prem kahaani,2023-07-28,nan,nan,nan,72
bobi wine: the people's president,2023-07-28,nan,nan,100,nan
kids,nan,nan,70.0,nan,nan
